"","date","rh","temperature"
"117",2019-09-05 07:35:14,56.4,23.6
"118",2019-09-05 07:35:16,56.3,23.6
"119",2019-09-05 07:35:19,56.3,23.6
"120",2019-09-05 07:35:21,56.3,23.6
"121",2019-09-05 07:35:24,56.2,23.6
"122",2019-09-05 07:35:27,56.2,23.6
"123",2019-09-05 07:35:29,56.2,23.6
"124",2019-09-05 07:35:34,56.1,23.6
"125",2019-09-05 07:35:37,56.1,23.6
"126",2019-09-05 07:35:39,56.1,23.6
"127",2019-09-05 07:35:42,56.1,23.6
"128",2019-09-05 07:35:44,56,23.6
"129",2019-09-05 07:35:47,56,23.6
"130",2019-09-05 07:35:49,56,23.6
"131",2019-09-05 07:35:52,56,23.7
"132",2019-09-05 07:35:54,56,23.7
"133",2019-09-05 07:35:57,55.9,23.6
"134",2019-09-05 07:35:59,55.8,23.6
"135",2019-09-05 07:36:02,55.8,23.6
"136",2019-09-05 07:36:04,55.8,23.6
"137",2019-09-05 07:36:39,55.5,23.7
"138",2019-09-05 07:36:41,55.4,23.6
"139",2019-09-05 07:36:44,55.4,23.7
"140",2019-09-05 07:36:47,55.4,23.7
"141",2019-09-05 07:36:49,55.3,23.7
"142",2019-09-05 07:36:52,55.3,23.7
"143",2019-09-05 07:36:54,55.3,23.7
"144",2019-09-05 07:36:57,55.2,23.7
"145",2019-09-05 07:36:59,55.2,23.7
"146",2019-09-05 07:37:02,55.2,23.6
"147",2019-09-05 07:37:04,55.2,23.7
"148",2019-09-05 07:37:07,55.2,23.7
"149",2019-09-05 07:37:09,55.2,23.7
"150",2019-09-05 07:37:12,55.2,23.7
"151",2019-09-05 07:37:14,55.2,23.7
"152",2019-09-05 07:37:17,55.1,23.7
"153",2019-09-05 07:37:19,55.1,23.7
"154",2019-09-05 07:37:22,55.1,23.7
"155",2019-09-05 07:37:25,55.1,23.7
"156",2019-09-05 07:37:27,55.1,23.7
"157",2019-09-05 07:37:30,55.1,23.7
"158",2019-09-05 07:37:32,55.1,23.7
"159",2019-09-05 07:37:35,55.1,23.7
"160",2019-09-05 07:37:37,55.1,23.7
"161",2019-09-05 07:37:40,55.1,23.7
"162",2019-09-05 07:37:42,55.1,23.7
"163",2019-09-05 07:37:45,55.1,23.7
"164",2019-09-05 07:37:47,55.1,23.7
"165",2019-09-05 07:37:50,55.1,23.7
"166",2019-09-05 07:37:52,55.1,23.7
"167",2019-09-05 07:37:55,55,23.7
"168",2019-09-05 07:37:57,55,23.7
"169",2019-09-05 07:38:00,55,23.7
"170",2019-09-05 07:38:02,55.1,23.8
"171",2019-09-05 07:38:05,55.1,23.8
"172",2019-09-05 07:38:08,55,23.7
"173",2019-09-05 07:38:10,55.1,23.8
"174",2019-09-05 07:38:13,55,23.7
"175",2019-09-05 07:38:15,55,23.7
"176",2019-09-05 07:38:18,55,23.8
"177",2019-09-05 07:38:23,55,23.8
"178",2019-09-05 07:38:25,55,23.8
"179",2019-09-05 07:38:28,55,23.8
"180",2019-09-05 07:38:30,55,23.8
"181",2019-09-05 07:38:33,55,23.8
"182",2019-09-05 07:38:35,55,23.8
"183",2019-09-05 07:38:38,55,23.8
"184",2019-09-05 07:38:40,55,23.8
"185",2019-09-05 07:38:43,55,23.8
"186",2019-09-05 07:38:45,55,23.8
"187",2019-09-05 07:38:48,55,23.8
"188",2019-09-05 07:38:50,55.1,23.8
"189",2019-09-05 07:38:53,55.1,23.8
"190",2019-09-05 07:38:56,55.1,23.8
"191",2019-09-05 07:38:58,55.1,23.8
"192",2019-09-05 07:39:01,55.1,23.8
"193",2019-09-05 07:39:06,55.1,23.8
"194",2019-09-05 07:39:08,55.1,23.8
"195",2019-09-05 07:39:11,55.1,23.8
"196",2019-09-05 07:39:13,55.1,23.8
"197",2019-09-05 07:39:16,55.1,23.8
"198",2019-09-05 07:39:18,55.2,23.8
"199",2019-09-05 07:39:21,55.2,23.8
"200",2019-09-05 07:39:23,55.2,23.8
"201",2019-09-05 07:39:26,55.2,23.8
"202",2019-09-05 07:39:28,55.2,23.8
"203",2019-09-05 07:39:31,55.2,23.8
"204",2019-09-05 07:39:33,55.2,23.8
"205",2019-09-05 07:39:36,55.2,23.8
"206",2019-09-05 07:39:39,55.2,23.8
"207",2019-09-05 07:39:41,55.2,23.8
"208",2019-09-05 07:39:44,55.3,23.8
"209",2019-09-05 07:39:46,55.2,23.8
"210",2019-09-05 07:39:49,55.3,23.8
"211",2019-09-05 07:39:51,55.2,23.8
"212",2019-09-05 07:39:54,55.3,23.8
"213",2019-09-05 07:39:56,55.3,23.9
"214",2019-09-05 07:39:59,55.3,23.9
"215",2019-09-05 07:40:01,55.2,23.8
"216",2019-09-05 07:40:06,55.2,23.8
"217",2019-09-05 07:40:09,55.2,23.8
"218",2019-09-05 07:40:11,55.3,23.9
"219",2019-09-05 07:40:14,55.2,23.8
"220",2019-09-05 07:40:19,55.3,23.9
"221",2019-09-05 07:40:22,55.3,23.9
"222",2019-09-05 07:40:24,55.3,23.8
"223",2019-09-05 07:40:27,55.2,23.8
"224",2019-09-05 07:40:29,55.3,23.9
"225",2019-09-05 07:40:32,55.3,23.9
"226",2019-09-05 07:40:34,55.3,23.9
"227",2019-09-05 07:40:39,55.3,23.9
"228",2019-09-05 07:40:42,55.3,23.8
"229",2019-09-05 07:40:44,55.3,23.9
"230",2019-09-05 07:40:47,55.3,23.8
"231",2019-09-05 07:40:49,55.4,23.9
"232",2019-09-05 07:40:52,55.4,23.9
"233",2019-09-05 07:40:54,55.4,23.9
"234",2019-09-05 07:40:57,55.4,23.9
"235",2019-09-05 07:40:59,55.4,23.9
"236",2019-09-05 07:41:02,55.4,23.9
"237",2019-09-05 07:41:05,55.4,23.9
"238",2019-09-05 07:41:07,55.4,23.9
"239",2019-09-05 07:41:10,55.4,23.9
"240",2019-09-05 07:41:12,55.4,23.9
"241",2019-09-05 07:41:15,55.4,23.9
"242",2019-09-05 07:41:17,55.4,23.9
"243",2019-09-05 07:41:20,55.4,23.9
"244",2019-09-05 07:41:22,55.4,23.9
"245",2019-09-05 07:41:25,55.4,23.9
"246",2019-09-05 07:41:27,55.4,23.9
"247",2019-09-05 07:41:30,55.4,23.9
"248",2019-09-05 07:41:32,55.4,23.9
"249",2019-09-05 07:41:35,55.5,24
"250",2019-09-05 07:41:37,55.4,23.9
"251",2019-09-05 07:41:40,55.4,23.9
"252",2019-09-05 07:41:42,55.5,24
"253",2019-09-05 07:41:45,55.5,24
"254",2019-09-05 07:41:48,55.4,23.9
"255",2019-09-05 07:41:50,55.4,23.9
"256",2019-09-05 07:41:53,55.5,24
"257",2019-09-05 07:41:55,55.5,24
"258",2019-09-05 07:41:58,55.4,23.9
"259",2019-09-05 07:42:00,4.2,23.9
"260",2019-09-05 07:42:03,55.5,24
"261",2019-09-05 07:42:05,55.4,23.9
"262",2019-09-05 07:42:08,55.5,24
"263",2019-09-05 07:42:10,55.5,24
"264",2019-09-05 07:42:13,55.5,24
"265",2019-09-05 07:42:15,55.5,24
"266",2019-09-05 07:42:18,55.5,24
"267",2019-09-05 07:42:20,55.5,24
"268",2019-09-05 07:42:23,55.4,24
"269",2019-09-05 07:42:25,55.4,24
"270",2019-09-05 07:42:28,55.4,24
"271",2019-09-05 07:42:31,55.4,24
"272",2019-09-05 07:42:33,55.4,24
"273",2019-09-05 07:42:36,55.4,24
"274",2019-09-05 07:42:38,55.4,24
"275",2019-09-05 07:42:41,55.4,24
"276",2019-09-05 07:42:43,55.4,24
"277",2019-09-05 07:42:46,55.4,24
"278",2019-09-05 07:42:48,55.4,24
"279",2019-09-05 07:42:51,55.4,24
"280",2019-09-05 07:42:53,55.4,24
"281",2019-09-05 07:42:56,55.4,24
"282",2019-09-05 07:42:58,55.4,24
"283",2019-09-05 07:43:01,55.4,24
"284",2019-09-05 07:43:03,55.4,24
"285",2019-09-05 07:43:06,55.4,24
"286",2019-09-05 07:43:08,55.4,24
"287",2019-09-05 07:43:11,55.4,24
"288",2019-09-05 07:43:14,55.3,24
"289",2019-09-05 07:43:16,55.3,24
"290",2019-09-05 07:43:19,55.3,24
"291",2019-09-05 07:43:21,55.3,24
"292",2019-09-05 07:43:24,55.2,24
"293",2019-09-05 07:43:26,55.2,24
"294",2019-09-05 07:43:29,55.1,24
"295",2019-09-05 07:43:31,55.1,24
"296",2019-09-05 07:43:34,55.1,24.1
"297",2019-09-05 07:43:36,55,24.1
"298",2019-09-05 07:43:39,54.9,24
"299",2019-09-05 07:43:41,54.9,24
"300",2019-09-05 07:43:44,54.8,24
"301",2019-09-05 07:43:46,54.8,24.1
